idx,Old_price,Years_old,Prev_Owners,Kms_Driven,Image_Score,Audio_Score,Final_Price,Vehicles_num,Model_num,Location_num
0,36912.375922998464,1236.62040366299,3.0,9352.8434244942,0.6929765048125958,0.5,25819.223981732157,2.0,1.3859530096251915,1.0
1,52180.55961156509,1852.273098950691,3.0,2918.7481747957136,0.5413509179189755,0.5,44070.33227246674,2.0,1.082701835837951,1.0
2,30153.123805737523,8.54062858278743,2.0765619028687614,12000.0,1.0,0.5,20526.24761147505,1.0765619028687614,1.0765619028687614,1.9234380971312384
3,33257.626285876664,318.82140104077786,3.0,11322.29663519821,0.9213983571327083,0.5,24629.42023736715,2.0,1.8427967142654167,1.0
4,21413.07631962857,1781.6031783024005,3.0,4059.8072397214273,0.5588781799845237,0.5,12997.860898806282,2.0,1.1177563599690474,1.0
5,27537.14283888549,532.5048761157626,2.737478990522676,9374.264863207804,0.868739495261338,0.5,19857.11083929445,2.0,1.737478990522676,1.0
6,32000.0,3.0,3.0,12000.0,1.0,0.5,24220.0,2.0,2.0,1.0
7,30344.41394570147,7.96675816289558,2.1722069728507365,12000.0,1.0,0.5,20908.827891402947,2.0,1.1722069728507365,1.8277930271492635
8,32000.0,3.0,3.0,12000.0,1.0,0.5,24220.0,2.0,2.0,1.0
9,30718.334109508203,6.844997671475394,2.359167054754101,12000.0,1.0,0.5,21656.668219016403,2.0,1.359167054754101,1.640832945245899
10,33792.34717853734,453.1031852101888,3.0,11034.148914165691,0.8879783013414164,0.5,24803.49862397283,2.0,1.7759566026828328,1.0
11,30799.326008930337,6.602021973208985,2.399663004465169,12000.0,1.0,0.5,21818.65201786068,2.0,1.399663004465169,1.600336995534831
12,27127.627531663624,821.5585746805108,3.0,8345.72064874772,0.7969844804859845,0.5,19055.285183563443,2.0,1.593968960971969,1.0
13,30609.77050061893,7.170688498143194,2.304885250309468,12000.0,1.0,0.5,21439.54100123787,1.3048852503094677,1.3048852503094677,1.6951147496905323
14,30331.70253521216,8.004892394363525,2.1658512676060795,12000.0,1.0,0.5,20883.40507042432,2.0,1.1658512676060793,1.8341487323939207
15,23802.19361227216,975.6456167086508,2.5177760948395385,7176.796500585065,0.7588880474197692,0.5,16205.824475357258,2.0,1.5177760948395385,1.0
16,15487.063687279951,1962.2113260444903,2.0286508051341148,2284.565352951417,0.5143254025670574,0.5,8076.953460684881,2.0,1.0286508051341148,1.0
17,48523.85079469403,1517.1856000955984,3.0,4564.267142387686,0.6244579364842267,0.5,40473.46050896267,2.0,1.2489158729684533,1.0
18,30057.063802097968,8.828808593706093,2.028531901048985,12000.0,1.0,0.5,20334.12760419594,2.0,1.0285319010489846,1.9714680989510156
19,43898.34064116953,1093.3206696635357,3.0,6645.74671147371,0.729583167246147,0.5,35923.64052158676,2.0,1.459166334492294,1.0
20,34547.56164172603,236.4492849872583,3.0,10853.597261223284,0.942100871778954,0.5,26725.87426940688,2.0,1.884201743557908,1.0
21,30727.45116381828,6.817646508545161,2.36372558190914,12000.0,1.0,0.5,21674.90232763656,2.0,1.3637255819091396,1.6362744180908604
22,32000.0,3.0,3.0,12000.0,1.0,0.5,24220.0,2.0,2.0,1.0
23,30794.95493296214,6.615135201113582,2.3974774664810696,12000.0,1.0,0.5,21809.90986592428,2.0,1.3974774664810696,1.6025225335189304
