,Brand,Model,Location,Old_price,Years_old,Prev_Owners,Kms_Driven,Audio_Score,Image_Score,Final_Price
0,Honda,CB_350,Delhi,36912.375922998464,1237.0,3.0,9352.8434244942,0.5,0.6929765048125958,25819.22398173216
1,Honda,CB_350,Delhi,52180.55961156509,1852.0,3.0,2918.7481747957136,0.5,0.5413509179189755,44070.33227246674
2,Tvs,CB_350,Gujrat,30153.123805737523,9.0,2.0,12000.0,0.5,1.0,20526.24761147505
3,Honda,Apache,Delhi,33257.626285876664,319.0,3.0,11322.29663519821,0.5,0.9213983571327083,24629.42023736715
4,Honda,CB_350,Delhi,21413.07631962857,1782.0,3.0,4059.8072397214273,0.5,0.5588781799845237,12997.860898806282
5,Honda,Apache,Delhi,27537.14283888549,533.0,3.0,9374.264863207804,0.5,0.868739495261338,19857.11083929445
6,Honda,Apache,Delhi,32000.0,3.0,3.0,12000.0,0.5,1.0,24220.0
7,Honda,CB_350,Gujrat,30344.41394570147,8.0,2.0,12000.0,0.5,1.0,20908.827891402947
8,Honda,Apache,Delhi,32000.0,3.0,3.0,12000.0,0.5,1.0,24220.0
9,Honda,CB_350,Gujrat,30718.334109508203,7.0,2.0,12000.0,0.5,1.0,21656.668219016403
10,Honda,Apache,Delhi,33792.34717853734,453.0,3.0,11034.148914165691,0.5,0.8879783013414164,24803.49862397283
11,Honda,CB_350,Gujrat,30799.326008930337,7.0,2.0,12000.0,0.5,1.0,21818.65201786068
12,Honda,Apache,Delhi,27127.627531663624,822.0,3.0,8345.72064874772,0.5,0.7969844804859845,19055.285183563443
13,Tvs,CB_350,Gujrat,30609.77050061893,7.0,2.0,12000.0,0.5,1.0,21439.54100123787
14,Honda,CB_350,Gujrat,30331.70253521216,8.0,2.0,12000.0,0.5,1.0,20883.40507042432
15,Honda,Apache,Delhi,23802.19361227216,976.0,3.0,7176.796500585065,0.5,0.7588880474197692,16205.824475357258
16,Honda,CB_350,Delhi,15487.063687279951,1962.0,2.0,2284.565352951417,0.5,0.5143254025670574,8076.953460684881
17,Honda,CB_350,Delhi,48523.85079469403,1517.0,3.0,4564.267142387686,0.5,0.6244579364842267,40473.46050896267
18,Honda,CB_350,Gujrat,30057.063802097968,9.0,2.0,12000.0,0.5,1.0,20334.12760419594
19,Honda,CB_350,Delhi,43898.34064116953,1093.0,3.0,6645.74671147371,0.5,0.729583167246147,35923.64052158676
20,Honda,Apache,Delhi,34547.56164172603,236.0,3.0,10853.597261223284,0.5,0.942100871778954,26725.87426940688
21,Honda,CB_350,Gujrat,30727.45116381828,7.0,2.0,12000.0,0.5,1.0,21674.90232763656
22,Honda,Apache,Delhi,32000.0,3.0,3.0,12000.0,0.5,1.0,24220.0
23,Honda,CB_350,Gujrat,30794.95493296214,7.0,2.0,12000.0,0.5,1.0,21809.90986592428
24,Honda,Apache,Delhi,31229.224876398115,5.0,3.0,12000.0,0.5,1.0,22678.449752796227
25,Honda,CB_350,Delhi,21212.737131476537,1283.0,2.0,5653.28216406049,0.5,0.6827275626904864,13674.371819731465
26,Honda,CB_350,Delhi,38759.1409086397,1700.0,3.0,8357.667942856779,0.5,0.5775536932100185,26420.43832280766
27,Honda,Apache,Delhi,31198.81049431378,5.0,3.0,12000.0,0.5,1.0,22617.62098862756
28,Honda,Apache,Delhi,31265.20883247613,5.0,3.0,12000.0,0.5,1.0,22750.41766495227
29,Tvs,CB_350,Gujrat,30157.04949169415,9.0,2.0,12000.0,0.5,1.0,20534.0989833883
30,Honda,Apache,Delhi,31499.13519295575,5.0,3.0,12000.0,0.5,1.0,23218.2703859115
31,Honda,Apache,Delhi,32000.0,3.0,3.0,12000.0,0.5,1.0,24220.0
