,0,1,2,3,4,5,6,7,8,9
0,30655.317278576258,7.034048164271223,2.3276586392881295,12000.0,1.0,0.5,21530.634557152516,2.0,1.3276586392881295,1.6723413607118705
1,31316.769378112444,5.049691865662669,2.6583846890562217,12000.0,1.0,0.5,22853.538756224887,2.0,1.6583846890562217,1.3416153109437783
2,160034.7896911566,4.199771259147237,4.799656888720856,64023.881453512935,1.0,0.5,149154.0288627409,2.0,2.0,1.0
3,31680.30045632338,3.9590986310298577,2.8401502281616904,12000.0,1.0,0.5,23580.60091264676,2.0,1.8401502281616904,1.1598497718383096
4,30899.53226536623,6.301403203901311,2.4497661326831146,12000.0,1.0,0.5,22019.06453073246,2.0,1.4497661326831148,1.5502338673168852
5,31692.103985800146,3.923688042599566,2.8460519929000725,12000.0,1.0,0.5,23604.207971600288,2.0,1.8460519929000725,1.1539480070999275
6,71307.46738538372,3.3683371508057247,3.552505726208587,27971.65136466243,1.0,0.5,62575.514752612355,2.0,2.0,1.0
7,31111.928659813675,5.664214020558972,2.555964329906838,12000.0,1.0,0.5,22443.857319627354,2.0,1.5559643299068382,1.4440356700931618
8,32000.0,3.0,3.0,12000.0,1.0,0.5,24220.0,2.0,2.0,1.0
9,30246.991171944857,8.259026484165423,2.12349558597243,12000.0,1.0,0.5,20713.98234388972,2.0,1.1234955859724296,1.8765044140275704
10,32000.0,3.0,3.0,12000.0,1.0,0.5,24220.0,2.0,2.0,1.0
11,30325.56428087949,8.023307157361529,2.162782140439745,12000.0,1.0,0.5,20871.128561758982,2.0,1.1627821404397451,1.8372178595602549
12,31593.520277466127,4.21943916760162,2.796760138733063,12000.0,1.0,0.5,23407.040554932253,2.0,1.7967601387330632,1.2032398612669368
13,30306.176631174825,8.081470106475527,2.153088315587412,12000.0,1.0,0.5,20832.35326234965,2.0,1.153088315587412,1.846911684412588
14,31117.921980113788,5.646234059658633,2.5589609900568946,12000.0,1.0,0.5,22455.84396022758,2.0,1.5589609900568946,1.4410390099431054
15,31524.896851572918,4.4253094452812505,2.7624484257864586,12000.0,1.0,0.5,23269.793703145835,2.0,1.7624484257864583,1.2375515742135417
16,122136.59743252798,3.844639954950785,4.266959932426177,48624.855406598464,1.0,0.5,112173.65925455587,2.0,2.0,1.0
17,30613.17937897749,7.160461863067534,2.306589689488744,12000.0,1.0,0.5,21446.35875795498,2.0,1.3065896894887443,1.6934103105112557
18,30776.289998000302,6.671130005999089,2.388144999000152,12000.0,1.0,0.5,21772.579996000608,1.388144999000152,1.388144999000152,1.611855000999848
19,197394.03090797577,4.5498522331044615,5.324778349656693,79203.91760575912,1.0,0.5,185608.49980560658,2.0,2.0,1.0
20,31565.36569261366,4.303902922159015,2.782682846306831,12000.0,1.0,0.5,23350.731385227322,1.782682846306831,1.782682846306831,1.217317153693169
21,30116.526436226868,8.650420691319393,2.058263218113434,12000.0,1.0,0.5,20453.052872453736,2.0,1.0582632181134342,1.9417367818865658
22,31346.167767876424,4.961496696370732,2.6730838839382116,12000.0,1.0,0.5,22912.335535752845,1.6730838839382114,1.6730838839382114,1.3269161160617886
23,117682.65521016842,3.802903549703591,4.204355324555387,46815.10227047226,1.0,0.5,107827.58310210147,2.0,2.0,1.0
24,31298.665261353955,5.10400421593813,2.6493326306769784,12000.0,1.0,0.5,22817.330522707914,2.0,1.6493326306769784,1.3506673693230216
25,30105.304847989395,8.684085456031816,2.0526524239946973,12000.0,1.0,0.5,20430.60969597879,1.0526524239946973,1.0526524239946973,1.9473475760053027
26,220826.84474116354,4.769433306544132,5.654149959816197,88725.28232171336,1.0,0.5,208473.81513773248,2.0,2.0,1.0
27,30248.081294535557,8.255756116393323,2.1240406472677793,12000.0,1.0,0.5,20716.16258907112,2.0,1.1240406472677793,1.8759593527322207
28,30819.999052124862,6.540002843625414,2.409999526062431,12000.0,1.0,0.5,21859.998104249724,2.0,1.409999526062431,1.590000473937569
29,32000.0,3.0,3.0,12000.0,1.0,0.5,24220.0,2.0,2.0,1.0
